embed_bit,wavelet,subtype,error_rate,audible
1,db2,PCM_16,0.4991, 
1,db2,PCM_32,0.4973, 
2,db2,PCM_16,0.4997, 
2,db2,PCM_32,0.5004, 
3,db2,PCM_16,0.4994, 
3,db2,PCM_32,0.4995, 
4,db2,PCM_16,0.4995, 
4,db2,PCM_32,0.2502, 
5,db2,PCM_16,0.2474, 
5,db2,PCM_32,0.2524, 
6,db2,PCM_16,0.2611, 
6,db2,PCM_32,0.1231, 
7,db2,PCM_16,0.1225, 
7,db2,PCM_32,0.0033, 
8,db2,PCM_16,0.0299, 
8,db2,PCM_32,0.0005, 
9,db2,PCM_16,0.0474, 
9,db2,PCM_32,0.0001, 
10,db2,PCM_16,0.0611, 
10,db2,PCM_32,0.0001, 
11,db2,PCM_16,0.0963, 
11,db2,PCM_32,0.0001, 
12,db2,PCM_16,0.1461, 
12,db2,PCM_32,0.0001, 
13,db2,PCM_16,0.21, 
13,db2,PCM_32,0.0001, 
14,db2,PCM_16,0.2758, 
14,db2,PCM_32,0.0001, 
15,db2,PCM_16,0.3277, 
15,db2,PCM_32,0.0002, 
16,db2,PCM_16,0.3553, 
16,db2,PCM_32,0.0003, 
17,db2,PCM_16,0.3611, 
17,db2,PCM_32,0.0004, 
18,db2,PCM_16,0.3579, 
18,db2,PCM_32,0.0006, 
19,db2,PCM_16,0.3612, 
19,db2,PCM_32,0.0007, 
20,db2,PCM_16,0.3797, 
20,db2,PCM_32,0.0012, 
21,db2,PCM_16,0.4085, 
21,db2,PCM_32,0.0024, 
22,db2,PCM_16,0.4294, 
22,db2,PCM_32,0.0052, 
23,db2,PCM_16,0.4316, 
23,db2,PCM_32,0.0096, 
24,db2,PCM_16,0.4216, 
24,db2,PCM_32,0.0179, 
25,db2,PCM_16,0.3858, 
25,db2,PCM_32,0.0311, 
26,db2,PCM_16,0.3595, 
26,db2,PCM_32,0.053, 
27,db2,PCM_16,0.3546, 
27,db2,PCM_32,0.087, 
28,db2,PCM_16,0.3659, 
28,db2,PCM_32,0.1405, 
29,db2,PCM_16,0.3967, 
29,db2,PCM_32,0.2174, 
